contract_id,customer_code,customer_name,customer_type,customer_country,terminal_code,product_code,contract_start_date,contract_end_date,reserved_capacity_cbm,storage_fee_eur_per_cbm_month,handling_fee_eur_per_cbm,contract_status,last_modified_utc
CON001,CUST02,Atlantic Bunkers,Bunkering,Spain,ALG,ETH,2026-01-16,2026-11-06,10000,1.83,0.49,Active,2026-06-10T10:00:00Z
CON002,CUST09,Benelux Aviation Fuels,Aviation Fuel,Netherlands,AME,BDL,2026-01-03,2026-07-17,5000,1.11,0.4,Active,2026-06-10T11:00:00Z
CON003,CUST01,North Sea Fuels,Energy Trader,Netherlands,GHE,SAF,2026-01-27,2026-11-15,25000,1.62,0.55,Active,2026-06-10T12:00:00Z
CON004,CUST01,North Sea Fuels,Energy Trader,Netherlands,AMW,BDL,2026-01-22,2026-12-10,10000,1.1,0.53,Active,2026-06-10T13:00:00Z
CON005,CUST02,Atlantic Bunkers,Bunkering,Spain,AME,BDL,2026-01-07,2027-01-05,15000,1.65,0.55,Active,2026-06-10T14:00:00Z
CON006,CUST08,Global Marine Supply,Shipping,Spain,AME,BDL,2026-01-06,2027-04-13,15000,1.96,0.46,Active,2026-06-10T15:00:00Z
CON007,CUST06,Med Biofuels,Biofuel Trader,Malta,GHE,MGO,2026-01-03,2026-10-26,15000,2.18,0.58,Active,2026-06-10T16:00:00Z
CON008,CUST02,Atlantic Bunkers,Bunkering,Spain,ROT,ETH,2026-01-30,2027-01-31,10000,1.32,0.25,Active,2026-06-10T17:00:00Z
CON009,CUST05,Baltic Energy Supply,Fuel Supplier,Germany,AME,DSL,2026-02-04,2026-12-06,10000,1.45,0.28,Active,2026-06-10T18:00:00Z
CON010,CUST09,Benelux Aviation Fuels,Aviation Fuel,Netherlands,GHE,METH,2026-02-23,2026-09-19,10000,1.95,0.55,Active,2026-06-10T19:00:00Z
CON011,CUST07,Rhine Industrial Fuels,Industrial,Netherlands,HAM,MGO,2026-01-14,2027-04-29,60000,1.24,0.48,Active,2026-06-10T20:00:00Z
CON012,CUST07,Rhine Industrial Fuels,Industrial,Netherlands,TER,DSL,2026-01-17,2026-09-25,10000,1.84,0.42,Active,2026-06-10T21:00:00Z
CON013,CUST10,Circular Methanol Europe,New Energy,Netherlands,ROT,BDL,2026-01-24,2026-11-12,10000,1.51,0.2,Active,2026-06-10T22:00:00Z
CON014,CUST01,North Sea Fuels,Energy Trader,Netherlands,AME,DSL,2026-02-10,2026-10-29,60000,1.39,0.18,Active,2026-06-10T23:00:00Z
CON015,CUST07,Rhine Industrial Fuels,Industrial,Netherlands,TER,SAF,2026-01-17,2027-04-25,5000,1.75,0.21,Active,2026-06-11T00:00:00Z
CON016,CUST09,Benelux Aviation Fuels,Aviation Fuel,Netherlands,HAM,METH,2026-01-08,2026-12-04,25000,1.02,0.15,Active,2026-06-11T01:00:00Z
CON017,CUST05,Baltic Energy Supply,Fuel Supplier,Germany,AMW,SAF,2026-02-28,2026-10-20,60000,1.22,0.47,Active,2026-06-11T02:00:00Z
